Treatments,Time,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,R01,R02,R03,R04,R05,R06,R07,R08,R09,R10,R11,R12,R13,R14,R15
W0001,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W0001,3,0.9506073607885736,1.2287429075233056,0.6570737378118837,0.7691741418935533,1.1259744174572035,0.9279904449318148,0.9404146343565812,0.9006643504378737,1.1540258852388734,0.550324715449071,0.3196322830692345,0.2279257441429168,0.2334626525759807,0.3667689702298213,0.3193720323801703,0.174118511920075,0.4405436868760888,0.3567879746038032,0.2746510232326134,0.2946495388375943,0.4054203147053885,0.554342843562458,0.3797262457503876,0.2192996565936803,0.4066564811709691,0.6292830211665991,0.3165990331958822,0.3968869852833089,0.3108011543732357,0.3668377434635054,0.0289405249146257,0.3337758068156332,0.4853049115703759,0.336422160995127,0.6821496927474527,0.3415361887370974,0.7372383074899012,0.897936074477914,0.617257580366548,0.6469256499492787,0.3711839506309866,0.4984142339973401,3.325266821942047,2.3520719358007858,2.7224473843866592
W0001,6,0.2602736569469593,0.5262737687774783,0.1885837072589831,0.452629328161518,0.4809829934130952,0.2525310479117815,0.3693777780712077,0.3513359295759793,0.3654456684311328,0.1694100505340254,0.1998296646471221,0.0606761564374408,0.0794178145173567,0.1538556451906134,0.111959299296496,0.0330159498573956,0.1628761361787323,0.1288008999170272,0.0777634751407747,0.0859439193844257,0.1094827421962169,0.1921551043690277,0.1118366368775257,0.0496150141932391,0.107425705323065,0.3213679412890244,0.0960766175093948,0.1224953574189864,0.0880146601936711,0.088625327108565,-0.0629378341729483,-0.0208255951031077,0.061717906731576,0.0043162207266577,0.0048048952869034,0.0460825027739252,0.005053628064872,-0.0277842524193361,0.0957070336516354,0.0607090919067104,0.0103484372478511,0.1469214661402493,3.2457976158243325,1.860252732557838,3.1340615657891333
W0002,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W0002,3,12.373805950509611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0053826861373311,-0.0419672731815497,3.005823001188066,0.1656357002217775,0.038037428469451,0.3361387545780931,0.2078647342876095,0.2726772826721222,1.072999643272477,3.489989654988276,0.1465189863764961,0.4575277306046522,4.591367940641927,0.1762271081394865,1.3572314580824305
W0002,6,3.593661628558157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0610137840420388,0.0363147802606469,2.78810475852332,0.0332682232005973,-0.0051574946067209,-0.0014046741970149,0.0774881045507017,0.0249003244769947,1.4376028902369102,3.952727514031032,0.0147801465296419,0.4948165777669926,4.074932130349811,0.1892896985719534,1.5289166647788748
W0003,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W0003,3,0.0,14.952913441413196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0424931047731842,0.0581718024726324,0.038365537691872,0.0558845117489992,0.4144784280244922,2.140685606280472,1.328212423501118,0.1829582712468808,0.6025051668142134,1.335050301555994,0.0784537851429317,0.802962959724882,1.540331340403024,0.0507417280654045,5.049709701422789
W0003,6,0.0,4.823158594995983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0327716303572702,-0.0840558762896645,-0.0078521724167386,-0.0061626811519092,0.0156371378882341,0.6418647592752438,0.4080607573292501,0.112157588981841,0.1096489115029129,2.005000221416087,0.02003433716101,0.8028264618492368,1.7787818332045815,0.0208021732535674,4.946070850679233
W0004,0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W0004,3,0.0,0.0,13.53193218273356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0349529673897169,0.8341833051083627,0.12955934942637,0.445162124897266,-0.0144780745908292,0.4069852710121196,0.8156821971334829,1.266155858806652,0.5724192853566443,2.073732137369151,0.8755654019297084,1.0572959860768818,0.3643354691780123,4.282225409393022,1.8782922474680803
