Treatments,Time,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,R01,R02,R03,R04,R05,R06,R07,R08,R09,R10,R11,R12,R13,R14,R15
W0001,0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W0001,3,0.2825271354369676,0.229072790566512,0.1839812819447317,0.1893507154877025,0.2056172395735014,0.2031646556153702,0.2949833418600929,0.1701837878347138,0.21823676377121,0.2589120471361912,0.2380772838714898,0.1896306115374757,0.2605794146974671,0.2268202102282621,0.2572730905798562,0.2454587159817782,0.3077400071252015,0.2797038701022582,0.2528663591340457,0.2640966832831363,0.2798864724969112,0.2038474389039769,0.1739911575912183,0.2111272931906747,0.1987803608015113,0.2285944248026248,0.2352593331505516,0.1869715181252174,0.2554221373749407,0.2695285394862997,0.210772928120503,0.2596923264398277,0.2636809089373572,0.1995166196880158,0.2317296626245609,0.2341057676071628,0.2347849188825307,0.2507750357335399,0.2322593454922787,0.2632028139544793,0.2389242387445155,0.2863289472020056,0.1770576219571591,0.2592764255653763,0.257073266241984,0.1989289384831819,0.3258604658552989,0.2118374867059115,0.220894136667889,0.2275322168632954,6.015911627040862,4.0028404837937455,3.4538246918750586,3.3219831558751,5.7557370510733294,3.6499068027171977,2.9223078700298832,2.962268739900903,1.331423281264291,1.3569158476538083,1.4196156105863715,1.1698409062365736,6.767048483860589,6.461163556479387,6.236144894384807
W0001,6,0.1754667709759671,0.1995288271853219,0.0979884502672918,0.1536431177292699,0.1959024492727328,0.131649959266165,0.0898770421373506,0.0925343516646393,0.0993648211236344,0.1102662437018429,0.0749550254877629,0.1015876417420525,0.0928107145741465,0.0579068595022233,0.1087629577388948,0.0637867714406871,0.0732116787699673,0.1085984939413214,0.2147990018236078,0.0947309072465513,0.1031730823797454,0.1392159458072132,0.0740128866960964,0.0881953845824798,0.1598734623214348,0.1580097948478965,0.1443141249539769,0.0778936244600694,0.1785162329544096,0.145645354243241,0.0650871390333703,0.1131993898117869,0.0961230117702398,0.0634357400339766,0.0711628817446701,0.0562536675358444,0.0771498926007661,0.1108843045298967,0.0805465018911573,0.1472012700258599,0.1732792308231769,0.1413653691571791,0.1038609298479508,0.0914360344156108,0.068321249964547,0.1322030933163647,0.1508254597536558,0.0613529880511927,0.1041194892938721,0.1257649562978012,0.1996948624511772,2.1040042805119,1.2576887863295902,1.5698627516823056,2.355731713248413,1.9120800877471469,2.7966498158668496,1.4239719471372967,0.9718443324898848,0.5832486610399933,1.0094971818026464,0.8297435978578408,9.364903002016398,8.893865203155316,9.597476889866783
W0002,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W0002,3,13.058309200315454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.020340914061698,11.512667570964384,3.4144553826367794,2.348297956258778,11.746467937667722,5.170253240882292,0.0042002116079491,0.3782115688070224,-0.018693060097714,0.590712134690468,0.2993592384144576,-0.0562495932195421,0.2345286720797577,1.8844531114751264,6.01752151355391
W0002,6,9.006944946735727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4105589906597033,1.3244906143094726,4.927018665658713,0.5168566124521472,1.116670191187549,2.508066575199335,0.8108417249081641,0.9608163527407176,0.2244027650243844,2.4350677197523765,1.3432803859787597,0.615741239588613,1.9371717914599649,4.400477299760527,11.97581385785508
W0003,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W0003,3,0.0,12.073457208447008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.711931627613498,1.2263626515312274,2.086101841901079,2.8798231223348623,4.655603662692456,-0.0127636346545928,6.863326042717943,1.4904864717483457,0.1196799046055365,0.0563440763639165,0.1261467101294954,4.301831262908463,6.570574405654155,0.7880552396835004,18.807434600033144
W0003,6,0.0,3.845348211486265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1805628956448172,0.9811595877945762,2.196179603940053,0.1456969045194295,0.1758109751917254,0.3303666896238696,0.4795069865270178,1.281776992780727,0.2507111625955411,0.5066754696592857,2.572559454576669,7.260243782070765,7.696085714780342,2.7740025501180625,26.635231439961014
W0004,0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
